Peptide_Name,Category,Mechanism/Primary_Effects,Typical_Dosage_Range,Gender_Specific_Notes,Route,Clinical_Status,Key_References
Octacosanoic Acid Derivative,C28 Peptide,"Lipid regulation, metabolic support","1–5 mg/day (oral/subQ)","Limited human data; dosing similar across sexes in trials",Oral/Subcutaneous,Investigational,"Lee et al., Cell Metab 2014"
Triacosanoic Acid Derivative,C30 Peptide,"Antimicrobial, immune modulation","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Chen et al., Cell Metab 2019"
Tetracosanoic Acid Derivative,C32 Peptide,"Lipid metabolism, cardiovascular health","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Yamauchi et al., Diabetes 2003"
Pentacosanoic Acid Derivative,C34 Peptide,"Lipid regulation, metabolic support","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Björnsson et al., JCEM 2003"
Hexacosanoic Acid Derivative,C36 Peptide,"Antimicrobial, skin barrier","1–5 mg/day (topical/subQ)","Limited human data; dosing similar across sexes in trials",Topical/Subcutaneous,Investigational,"Pinnell et al., J Invest Dermatol 1987"
Heptacosanoic Acid Derivative,C38 Peptide,"Lipid metabolism, cardiovascular health","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Krasnov et al., Biochem Biophys Res Commun 1996"
Octacosanoic Acid Derivative,C40 Peptide,"Lipid regulation, metabolic support","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Khan et al., J Cell Physiol 2013"
Nonacosanoic Acid Derivative,C41 Peptide,"Antimicrobial, immune modulation","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Cicero et al., JCEM 2003"
Tetracosanoic Acid Derivative,C42 Peptide,"Lipid metabolism, cardiovascular health","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"de Klerk et al., JCEM 2013"
Pentacosanoic Acid Derivative,C44 Peptide,"Lipid regulation, metabolic support","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Hexacosanoic Acid Derivative,C46 Peptide,"Antimicrobial, skin barrier","1–5 mg/day (topical/subQ)","Limited human data; dosing similar across sexes in trials",Topical/Subcutaneous,Investigational,"Zamir et al., J Pharmacol Exp Ther 1986"
Heptacosanoic Acid Derivative,C48 Peptide,"Lipid metabolism, cardiovascular health","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Sakata et al., Diabetes 2010"
Octacosanoic Acid Derivative,C50 Peptide,"Lipid regulation, metabolic support","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Kozlov et al., Neurosci Behav Physiol 2004"
