Steroid_Name,Class/Subclass,Mechanism_of_Action,Primary_Clinical_Effects,Typical_Dosage_Range_Men,Typical_Dosage_Range_Women,Gender_Specific_Notes,Route,Clinical_Status,Pharmacokinetics_(Half-Life/Onset),Key_Adverse_Effects,Monitoring_Parameters,Key_References
Triamcinolone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","55–176 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Hydrocortisone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; mild anti-inflammatory","Eczema, psoriasis, dermatitis","0.5–2.5% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Prednisolone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; moderate anti-inflammatory","Allergic rhinitis, sinusitis","25–100 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Dexamethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Betamethasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","44–88 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Fluticasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","125–500 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Clobetasol (Dermatologic),Glucocorticoid,"Topical glucocorticoid; ultra-potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.05% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Mometasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","20–40 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Beclomethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.025–0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Triamcinolone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Hydrocortisone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; mild anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Prednisolone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; moderate anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Dexamethasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","0.1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Betamethasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Fluticasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; moderate anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Clobetasol (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Mometasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Beclomethasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; moderate anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Triamcinolone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Hydrocortisone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; mild anti-inflammatory","Allergic rhinitis, sinusitis","25–100 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Prednisolone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; moderate anti-inflammatory","Allergic rhinitis, sinusitis","25–100 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Dexamethasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","40–80 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Betamethasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","44–88 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Fluticasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","125–500 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Clobetasol (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","44–88 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Mometasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","20–40 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Beclomethasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; moderate anti-inflammatory","Allergic rhinitis, sinusitis","42–168 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Triamcinolone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","55–176 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Hydrocortisone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; mild anti-inflammatory","Eczema, psoriasis, dermatitis","0.5–2.5% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Prednisolone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.1–1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Dexamethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Betamethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.05% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Fluticasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.05% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Clobetasol (Dermatologic),Glucocorticoid,"Topical glucocorticoid; ultra-potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.05% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Mometasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Beclomethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.025–0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Triamcinolone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
